,userIDs,group_id,RoleName,m_experimental_testing,m_making_design_choices,m_asking_questions,j_customer_consultants_requests,j_performance_parameters_requirements,j_communication,OutcomeScore,wordCount
157,158,4,,0,0,0,0,0,0,0,17
158,159,4,Player,1,5,7,0,3,0,3,364
159,160,4,Player,0,10,15,1,8,0,6,859
160,161,4,Player,0,1,4,0,1,0,4,255
161,162,5,Player,2,1,9,2,2,0,1,713
162,163,5,Player,2,8,8,1,5,2,7,665
163,164,5,Player,2,5,3,2,3,0,4,462
164,165,5,Player,0,4,2,1,3,0,4,393
165,166,5,Player,0,0,0,0,0,0,0,27
166,167,6,Player,3,1,8,0,1,0,4,607
167,168,6,Player,0,4,7,1,3,0,5,604
168,169,6,Player,1,4,7,1,4,1,4,673
169,170,6,Player,2,7,18,0,3,1,5,649
170,171,6,Player,1,3,12,0,2,0,3,465
171,172,2,Player,3,6,5,1,4,2,4,562
172,173,6,Mentor,1,12,19,1,5,6,4,1459
173,174,2,Player,1,1,6,0,0,0,4,150
174,175,2,Player,0,2,7,0,1,1,3,184
175,176,2,Player,3,2,4,0,2,0,4,389
176,177,2,Player,0,1,1,1,1,0,4,166
177,178,2,Player,2,2,3,1,3,0,4,278
178,179,3,Player,0,5,3,0,0,0,0,120
179,180,3,Player,0,0,1,0,0,0,0,24
180,181,3,Player,5,11,15,3,10,2,5,1435
181,182,3,Player,2,4,6,1,6,2,5,535
182,183,3,Player,0,1,6,2,1,0,3,243
183,184,4,Player,0,5,15,0,0,0,3,279
184,185,4,Player,1,4,8,1,0,1,4,343
185,186,4,Player,0,1,5,0,0,0,2,84
186,187,4,Player,1,6,5,4,0,0,2,272
187,188,4,Player,0,1,3,0,0,0,6,172
188,189,5,Player,1,3,8,0,2,0,4,474
189,190,5,Player,2,5,8,0,4,1,1,907
190,191,5,Player,2,3,8,0,3,1,4,456
191,192,5,Player,0,0,1,0,0,0,5,88
192,193,5,Player,0,2,1,0,3,0,5,282
193,194,6,Player,1,4,11,1,1,0,6,452
194,195,6,Player,1,1,1,0,1,0,7,297
195,196,6,Player,0,3,1,0,4,2,1,370
196,197,6,Player,1,10,5,3,5,0,3,786
197,198,6,Player,0,1,2,0,1,0,3,176
198,199,2,Player,1,8,13,0,1,2,3,765
199,200,2,Player,0,2,2,0,1,0,3,282
200,201,6,Mentor,5,21,55,0,2,15,4,3332
201,202,2,Player,0,3,2,3,2,1,4,342
202,203,2,Player,0,4,4,0,1,0,5,165
203,204,2,Player,1,4,16,1,2,0,5,555
204,205,2,Player,2,2,4,0,0,0,5,205
205,206,3,Player,0,5,6,2,3,0,7,676
206,207,3,Player,0,4,6,1,1,0,5,304
207,208,3,Player,0,3,5,0,2,1,1,241
208,209,3,Player,0,1,5,1,3,0,4,459
209,210,3,Player,0,0,3,0,0,0,4,190
210,211,3,Player,0,0,0,0,1,0,1,40
211,212,4,Player,0,6,10,0,4,1,5,422
212,213,4,Player,1,5,12,1,0,1,5,561
213,214,4,Player,0,6,1,1,2,0,3,297
214,215,4,Player,0,6,5,0,2,0,5,500
215,216,4,Player,0,6,9,0,2,1,5,626
216,217,5,Player,2,7,16,0,2,0,2,476
217,218,5,Player,0,1,0,0,2,0,4,179
218,219,5,Player,2,1,5,0,2,0,5,286
219,220,5,Player,1,4,4,0,0,0,6,123
220,221,5,Player,0,1,1,0,0,0,4,183
221,222,6,Player,1,5,6,0,2,1,2,388
222,223,6,Player,1,2,3,0,2,0,6,530
223,224,6,Player,4,6,12,1,2,0,4,579
224,225,6,Player,1,1,5,0,1,1,3,271
225,226,6,Player,1,2,3,1,2,0,2,235
226,227,6,Mentor,1,15,58,0,2,5,4,2325
227,228,2,Player,1,0,7,1,2,0,6,692
228,229,2,Player,13,11,11,5,10,5,6,1614
229,230,2,Player,3,2,2,0,2,0,6,402
230,231,2,Player,3,7,3,0,1,0,7,565
231,232,2,Player,6,4,4,0,0,0,4,364
232,233,2,Player,0,2,1,0,0,0,3,44
233,234,3,Player,3,7,7,3,1,1,5,645
234,235,3,Player,0,0,1,1,0,0,0,76
235,236,3,Player,1,9,27,1,0,0,2,579
236,237,3,Player,0,7,27,9,6,1,3,1108
237,238,3,Player,1,7,19,3,10,3,4,1118
238,239,4,Player,3,8,13,5,3,0,4,1124
239,240,4,Player,6,6,20,0,1,0,4,892
240,241,4,Player,0,4,10,0,1,1,4,387
241,242,4,Player,1,4,14,1,1,1,4,662
242,243,4,Player,0,4,9,0,3,1,4,324
243,244,5,Player,1,1,12,0,3,0,4,441
244,245,5,Player,2,10,8,3,6,2,6,523
245,246,5,Player,5,9,12,0,5,0,4,732
246,247,5,Player,1,0,2,0,1,0,4,121
247,248,5,Player,0,0,2,0,0,0,3,136
248,249,6,Player,2,8,10,2,1,0,2,483
249,250,6,Player,1,3,8,0,1,1,1,230
250,251,6,Player,1,3,16,0,1,0,4,377
251,252,6,Player,2,8,17,0,2,0,3,502
252,253,6,Player,0,1,1,0,1,0,5,61
253,254,6,Mentor,0,15,33,0,10,10,4,1925
254,255,2,Player,0,4,2,1,2,1,5,279
255,256,2,Player,1,5,8,1,3,0,4,465
256,257,2,Player,1,3,3,0,1,0,3,274
257,258,2,Player,0,5,5,1,2,0,3,346
258,259,2,Player,0,4,1,1,5,0,2,555
259,260,3,Player,2,1,5,1,4,0,6,501
260,261,3,Player,2,10,25,2,3,1,4,1025
261,262,3,Player,3,3,0,2,2,0,2,403
262,263,3,Player,0,2,7,0,1,0,3,351
263,264,3,Player,0,4,1,2,1,1,5,376
264,265,4,Player,1,6,1,1,4,0,5,396
265,266,4,Player,1,2,2,0,3,0,6,377
266,267,4,Player,0,2,3,1,2,0,5,219
267,268,4,Player,1,3,2,1,1,0,5,283
268,269,4,Player,2,4,8,1,1,0,6,450
269,270,5,Player,1,1,7,1,2,3,2,693
270,271,5,Player,0,1,4,0,1,0,1,171
271,272,5,Player,1,4,3,0,2,0,2,312
272,273,5,Player,0,6,9,1,0,0,3,460
273,274,6,Player,1,8,0,2,2,2,2,498
274,275,6,Player,1,5,0,1,1,0,4,230
275,276,6,Player,0,1,4,0,2,0,5,301
276,277,6,Player,0,1,0,0,0,0,3,153
277,278,6,Mentor,0,0,0,5,0,5,4,1160
278,279,2,Player,0,8,17,0,3,0,3,511
279,280,2,Player,0,2,1,0,2,0,2,248
280,281,2,Player,1,3,7,0,2,0,4,307
281,282,2,Player,0,0,0,0,0,0,4,48
282,283,2,Player,1,4,9,0,4,0,2,486
283,284,3,Player,0,1,3,1,0,0,1,130
284,285,3,Player,0,2,9,1,1,0,6,463
285,286,3,Player,0,4,1,1,1,0,4,208
286,287,3,Player,1,0,0,2,3,0,6,305
287,288,3,Player,0,2,4,0,2,0,5,179
288,289,4,Player,3,10,12,3,7,0,6,760
289,290,4,Player,0,0,4,0,0,0,0,157
290,291,4,Player,2,7,6,1,3,0,2,500
291,292,4,Player,1,11,4,0,1,0,3,476
292,293,5,Player,0,10,16,0,3,0,4,745
293,294,5,Player,0,9,8,1,4,0,4,632
294,295,5,Player,1,7,4,1,3,0,5,551
295,296,5,Player,0,0,1,1,1,0,3,164
296,297,6,Player,1,2,2,0,4,1,4,370
297,298,6,Player,0,12,10,2,2,1,6,453
298,299,6,Player,0,3,8,1,0,1,4,326
299,300,6,Player,1,2,2,0,1,1,0,358
300,301,6,Mentor,1,24,29,5,10,15,4,3716
301,302,2,Player,1,3,3,1,0,1,3,420
302,303,2,Player,0,2,6,2,2,1,0,483
303,304,2,Player,0,3,0,1,2,0,3,349
304,305,3,Player,0,3,1,0,3,0,2,549
305,306,3,Player,0,4,0,1,2,0,1,426
306,307,3,Player,0,7,0,1,4,0,5,400
307,308,4,Player,6,1,1,0,3,0,4,385
308,309,4,Player,0,2,2,1,1,0,3,325
309,310,4,Player,7,8,7,0,5,1,4,630
310,311,4,Player,1,1,0,0,1,0,6,341
311,312,5,Player,1,4,3,1,2,1,3,388
312,313,5,Player,1,6,8,2,2,0,2,700
313,314,5,Player,0,3,2,0,1,0,4,238
314,315,5,Player,0,3,2,1,2,0,2,318
315,316,6,Player,0,4,14,0,1,1,4,725
316,317,6,Player,2,6,10,0,4,2,4,930
317,318,6,Player,1,1,3,0,0,0,0,151
318,319,6,Player,0,1,3,0,2,0,1,295
319,320,2,Player,1,4,3,2,3,0,5,608
320,321,2,Player,1,10,18,0,3,0,1,587
321,322,2,Player,2,5,3,0,1,0,2,241
322,323,2,Player,0,4,11,0,3,1,1,569
323,324,3,Player,0,6,18,1,1,0,4,678
324,325,3,Player,0,7,4,1,3,2,2,619
325,326,3,Player,0,3,5,0,0,0,4,276
326,327,3,Player,0,4,18,0,0,0,2,486
327,328,6,Mentor,0,2,17,1,2,2,4,583
328,329,4,Player,1,5,6,0,2,1,4,489
329,330,4,Player,1,12,22,1,2,1,3,664
330,331,4,Player,3,6,13,0,1,1,4,705
331,332,4,Player,2,3,5,0,2,2,5,525
332,333,5,Mentor,0,1,0,1,1,2,4,430
333,334,5,Player,3,11,15,0,5,0,4,595
334,335,5,Player,2,10,8,3,2,1,6,1048
335,336,5,Player,0,0,0,0,0,0,0,3
336,337,5,Player,0,1,4,0,0,1,0,226
337,338,6,Mentor,0,3,1,1,2,2,4,675
338,339,6,Player,1,3,6,0,2,0,6,332
339,340,6,Player,3,9,10,2,4,1,4,705
340,341,6,Player,3,8,24,2,1,0,4,564
341,342,6,Player,2,3,8,0,1,0,2,302
342,343,6,Mentor,2,6,33,2,2,3,4,1346
343,344,2,Player,2,22,56,4,14,6,3,2673
344,345,2,Player,1,4,6,0,2,0,2,585
345,346,2,Player,4,8,11,1,4,0,3,822
346,347,2,Player,3,7,15,1,2,1,5,622
347,348,2,Player,5,10,11,2,5,0,3,1079
348,349,5,Mentor,3,10,57,3,6,9,4,2500
349,350,3,Player,1,16,32,4,3,2,6,1592
350,351,3,Player,4,10,13,1,4,1,0,1126
351,352,3,Player,2,2,8,1,1,1,3,731
352,353,4,Player,12,19,42,6,5,2,7,1853
353,354,4,Player,3,10,12,4,1,1,4,896
354,355,4,Player,10,7,11,2,3,0,4,1068
355,356,4,Player,6,5,10,1,4,0,4,758
356,357,4,Player,1,5,0,2,3,0,1,685
357,358,5,Player,4,5,10,2,7,2,5,919
358,359,5,Player,4,3,11,1,2,1,6,747
359,360,5,Player,5,8,17,2,3,0,6,903
360,361,5,Player,4,7,7,0,4,0,5,519
361,362,6,Player,3,8,4,1,2,0,4,434
362,363,6,Player,3,9,7,2,5,0,4,542
363,364,6,Player,4,9,16,1,6,0,4,914
364,365,6,Player,3,6,2,1,3,0,5,454
365,366,6,Player,1,4,7,1,4,0,4,534
366,367,6,Mentor,0,15,77,5,6,1,4,1996
367,368,2,Player,0,7,10,2,6,1,2,980
368,369,2,Player,7,12,11,0,5,4,3,1027
369,370,2,Player,1,3,2,0,3,0,2,659
370,371,2,Player,1,5,10,2,2,1,2,843
371,372,2,Player,1,4,8,2,2,0,2,447
372,373,3,Player,2,4,3,0,3,0,0,681
373,374,3,Player,0,6,4,0,4,0,4,704
374,375,3,Player,0,6,7,0,5,0,4,578
375,376,3,Player,4,7,9,0,3,0,6,811
376,377,3,Player,0,3,6,4,4,0,8,463
377,378,4,Player,3,2,6,0,6,1,6,661
378,379,4,Player,3,6,1,0,3,0,5,511
379,380,4,Player,3,3,3,3,3,0,4,514
380,381,4,Player,1,4,4,1,7,0,5,566
381,382,4,Player,1,6,4,2,2,2,4,533
382,383,5,Player,2,5,11,0,2,0,4,673
383,384,5,Player,3,10,16,2,3,2,4,1051
384,385,5,Player,4,12,10,2,2,1,6,1052
385,386,5,Player,4,5,6,0,2,0,4,659
386,387,5,Player,3,4,16,2,2,2,5,1049
387,388,6,Player,5,2,3,1,7,0,8,708
388,389,6,Player,2,8,4,1,7,0,7,755
389,390,6,Player,0,5,6,1,2,0,4,431
390,391,6,Player,2,3,11,1,4,0,5,605
391,392,6,Player,2,4,4,0,2,0,5,451
